C/A,Unit,Scp,Station,Linename,Division,Date,Time,Desc,Entries,Exits,On_N_Line,Dayofweek,NewCol
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-31,12:00:00,REGULAR,811013,1258508,True,4,
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-31,16:00:00,REGULAR,811337,1258920,True,4,
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-31,20:00:00,REGULAR,811733,1259271,True,4,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-25,00:00:00,REGULAR,5888387,7995190,True,5,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-25,04:00:00,REGULAR,5888405,7995214,True,5,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-25,08:00:00,REGULAR,5888424,7995288,True,5,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-25,12:00:00,REGULAR,5888542,7995521,True,5,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-25,16:00:00,REGULAR,5888786,7995730,True,5,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-25,20:00:00,REGULAR,5889045,7995937,True,5,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-26,00:00:00,REGULAR,5889224,7996054,True,6,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-26,04:00:00,REGULAR,5889251,7996075,True,6,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-26,08:00:00,REGULAR,5889263,7996116,True,6,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-26,12:00:00,REGULAR,5889359,7996285,True,6,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-26,16:00:00,REGULAR,5889518,7996465,True,6,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-26,20:00:00,REGULAR,5889695,7996677,True,6,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-27,00:00:00,REGULAR,5889827,7996777,True,0,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-27,04:00:00,REGULAR,5889840,7996789,True,0,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-27,08:00:00,REGULAR,5889876,7997075,True,0,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-27,12:00:00,REGULAR,5890054,7997594,True,0,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-27,16:00:00,REGULAR,5890291,7997819,True,0,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-27,20:00:00,REGULAR,5890861,7998146,True,0,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-28,00:00:00,REGULAR,5891056,7998258,True,1,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-28,04:00:00,REGULAR,5891072,7998272,True,1,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-28,08:00:00,REGULAR,5891115,7998533,True,1,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-28,12:00:00,REGULAR,5891287,7999145,True,1,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-28,16:00:00,REGULAR,5891505,7999385,True,1,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-28,20:00:00,REGULAR,5892067,7999669,True,1,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-29,00:00:00,REGULAR,5892262,7999798,True,2,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-29,04:00:00,REGULAR,5892280,7999814,True,2,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-29,08:00:00,REGULAR,5892312,8000078,True,2,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-29,12:00:00,REGULAR,5892477,8000605,True,2,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-29,16:00:00,REGULAR,5892730,8000825,True,2,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-29,20:00:00,REGULAR,5893277,8001138,True,2,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-30,00:00:00,REGULAR,5893508,8001265,True,3,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-30,04:00:00,REGULAR,5893528,8001276,True,3,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-30,08:00:00,REGULAR,5893561,8001544,True,3,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-30,12:00:00,REGULAR,5893762,8002135,True,3,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-30,16:00:00,REGULAR,5894020,8002375,True,3,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-30,20:00:00,REGULAR,5894573,8002636,True,3,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-31,00:00:00,REGULAR,5894778,8002768,True,4,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-31,04:00:00,REGULAR,5894795,8002778,True,4,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-31,08:00:00,REGULAR,5894816,8003006,True,4,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-31,12:00:00,REGULAR,5894981,8003439,True,4,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-31,16:00:00,REGULAR,5895319,8003702,True,4,
A002,R051,02-03-02,59 ST,NQR456W,BMT,2018-08-31,20:00:00,REGULAR,5895735,8003909,True,4,
A002,R051,02-03-03,59 ST,NQR456W,BMT,2018-08-25,00:00:00,REGULAR,5472843,6353137,True,5,
A002,R051,02-03-03,59 ST,NQR456W,BMT,2018-08-25,04:00:00,REGULAR,5472861,6353152,True,5,
A002,R051,02-03-03,59 ST,NQR456W,BMT,2018-08-25,08:00:00,REGULAR,5472869,6353216,True,5,
A002,R051,02-03-03,59 ST,NQR456W,BMT,2018-08-25,12:00:00,REGULAR,5472950,6353364,True,5,
A002,R051,02-03-03,59 ST,NQR456W,BMT,2018-08-25,16:00:00,REGULAR,5473155,6353494,True,5,
A002,R051,02-03-03,59 ST,NQR456W,BMT,2018-08-25,20:00:00,REGULAR,5473374,6353598,True,5,
